years_window,upstream_year,state,cace,se,type,fe_cace,fe_se,re_cace,re_se
94-12,94,CT,NA,NA,state,NA,NA,NA,NA
94-12,94,FL,-0.29254362568584796,0.37584351057672905,state,NA,NA,NA,NA
94-12,94,FL05,NA,NA,state,NA,NA,NA,NA
94-12,94,IA,NA,NA,state,NA,NA,NA,NA
94-12,94,IL,0.4939194507982974,0.2519017866597698,state,NA,NA,NA,NA
94-12,94,KY,NA,NA,state,NA,NA,NA,NA
94-12,94,MI,NA,NA,state,NA,NA,NA,NA
94-12,94,MO,0.2837480243205327,0.25435163279389655,state,NA,NA,NA,NA
94-12,94,MO05,NA,NA,state,NA,NA,NA,NA
94-12,94,MT,NA,NA,state,NA,NA,NA,NA
94-12,94,NJ,NA,NA,state,NA,NA,NA,NA
94-12,94,NV,NA,NA,state,NA,NA,NA,NA
94-12,94,NY,NA,NA,state,NA,NA,NA,NA
94-12,94,OK,NA,NA,state,NA,NA,NA,NA
94-12,94,OR,NA,NA,state,NA,NA,NA,NA
94-12,94,PA,NA,NA,state,NA,NA,NA,NA
94-12,94,RI,NA,NA,state,NA,NA,NA,NA
96-12,96,AR,0.009223393193100438,0.18528031750069301,state,NA,NA,NA,NA
96-12,96,CO,NA,NA,state,NA,NA,NA,NA
96-12,96,CT,NA,NA,state,NA,NA,NA,NA
96-12,96,FL,0.1754185568793224,0.09389104095931973,state,NA,NA,NA,NA
96-12,96,FL05,NA,NA,state,NA,NA,NA,NA
96-12,96,IA,NA,NA,state,NA,NA,NA,NA
96-12,96,IL,0.41370114099268795,0.08784346537361407,state,NA,NA,NA,NA
96-12,96,KY,NA,NA,state,NA,NA,NA,NA
96-12,96,MI,NA,NA,state,NA,NA,NA,NA
96-12,96,MO,0.24484748271910148,0.1285680522706511,state,NA,NA,NA,NA
96-12,96,MO05,NA,NA,state,NA,NA,NA,NA
96-12,96,MT,NA,NA,state,NA,NA,NA,NA
96-12,96,NJ,NA,NA,state,NA,NA,NA,NA
96-12,96,NV,NA,NA,state,NA,NA,NA,NA
96-12,96,NY,NA,NA,state,NA,NA,NA,NA
96-12,96,OK,NA,NA,state,NA,NA,NA,NA
96-12,96,OR,NA,NA,state,NA,NA,NA,NA
96-12,96,PA,NA,NA,state,NA,NA,NA,NA
96-12,96,RI,NA,NA,state,NA,NA,NA,NA
98-12,98,AR,1.2043081681638639,0.45103623975383605,state,NA,NA,NA,NA
98-12,98,CO,NA,NA,state,NA,NA,NA,NA
98-12,98,CT,NA,NA,state,NA,NA,NA,NA
98-12,98,FL,1.087753552066546,0.31110746608348877,state,NA,NA,NA,NA
98-12,98,FL05,NA,NA,state,NA,NA,NA,NA
