bandwidth,order,lag,fe_cace,fe_se,re_cace,re_se
635,2,TRUE,0.09853941938010188,0.0057089151419128055,0.10064977343188682,0.012110909490821184
635,3,FALSE,0.12938109357220387,0.007808502465848237,0.1280278360153878,0.01184411317251477
635,3,TRUE,0.09452818567962702,0.00849189642521914,0.09587291493312772,0.012408596275197536
730,0,FALSE,0.11967533840858248,0.002207538207560389,0.09578235443825546,0.01651543445076096
730,0,TRUE,0.10266511177187485,0.0019267913257553465,0.08580290207106074,0.012453820489028935
730,1,FALSE,0.13586687541286904,0.003950246381949855,0.13223864148787104,0.009836315687098978
730,1,TRUE,0.13582463691187108,0.003301466897038031,0.13334415292894328,0.010636861206412317
730,2,FALSE,0.10819311306339671,0.0063978702636846435,0.10805265161776229,0.011329052391589938
730,2,TRUE,0.10293139228255176,0.005360161647739566,0.10587285063034431,0.012962440308670622
730,3,FALSE,0.1277001415614003,0.007236695611695337,0.1283224204284731,0.010701919072601769
730,3,TRUE,0.09730478900137664,0.007434674321588777,0.09871943158576703,0.013181074104001695
